일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2013/12/30","2072.25","34.65","1.70","2042.53","2072.25","2042.53","7073.0","442163.0","1.87672628E8"
"2013/12/27","2037.60","13.73","0.68","2020.21","2042.88","2014.44","5885.0","297886.0","1.84470812E8"
"2013/12/26","2023.87","2.40","0.12","2024.84","2032.80","2020.76","6211.0","342567.0","1.83257041E8"
"2013/12/24","2021.47","4.76","0.24","2019.14","2029.18","2007.20","6333.0","347021.0","1.82940921E8"
"2013/12/23","2016.71","21.22","1.06","2006.72","2021.42","2004.31","6853.0","419468.0","1.82583224E8"
"2013/12/20","1995.49","15.52","0.78","1977.31","2008.17","1975.94","7109.0","478971.0","1.80695161E8"
"2013/12/19","1979.97","-43.56","-2.15","2036.39","2036.39","1965.24","10047.0","765223.0","1.79149011E8"
"2013/12/18","2023.53","8.93","0.44","2022.40","2047.87","2013.13","7889.0","529664.0","1.82977404E8"
"2013/12/17","2014.60","0.39","0.02","2034.21","2034.66","2005.28","8536.0","668973.0","1.82208746E8"
"2013/12/16","2014.21","-14.23","-0.70","2025.43","2028.01","2013.02","7101.0","421379.0","1.82179134E8"
"2013/12/13","2028.44","1.81","0.09","2025.04","2030.33","2004.37","6922.0","449049.0","1.83377195E8"
"2013/12/12","2026.63","-5.09","-0.25","2027.53","2034.42","2019.75","8300.0","514821.0","1.83128493E8"
"2013/12/11","2031.72","-13.83","-0.68","2042.77","2058.27","2021.22","7636.0","418051.0","1.83523855E8"
"2013/12/10","2045.55","-4.18","-0.20","2060.16","2066.89","2042.01","6560.0","406324.0","1.8469631E8"
"2013/12/09","2049.73","13.69","0.67","2057.93","2059.08","2047.57","6792.0","364906.0","1.85064833E8"
"2013/12/06","2036.04","-16.45","-0.80","2048.30","2057.34","2036.04","6885.0","395701.0","1.83923731E8"
"2013/12/05","2052.49","-8.30","-0.40","2071.71","2072.30","2036.03","7577.0","487635.0","1.85283867E8"
"2013/12/04","2060.79","-23.75","-1.14","2072.32","2092.20","2060.79","8606.0","524749.0","1.85910316E8"
"2013/12/03","2084.54","-64.31","-2.99","2143.77","2143.77","2075.77","12395.0","755675.0","1.88195376E8"
"2013/12/02","2148.85","-11.95","-0.55","2168.33","2172.60","2145.31","9421.0","445074.0","1.93988243E8"
"2013/11/29","2160.80","-6.57","-0.30","2167.72","2174.13","2147.82","6769.0","375377.0","1.95092901E8"
"2013/11/28","2167.37","-3.79","-0.17","2178.14","2179.97","2157.75","7816.0","443537.0","1.95694985E8"
