일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2009/12/30,1226.75,15.03,1.24,0.0,0.0,0.0,19857.0,487849.0,100859720.0
2009/12/29,1211.72,-2.28,-0.19,0.0,0.0,0.0,14284.0,344548.0,99730995.0
2009/12/28,1214.0,-9.45,-0.77,0.0,0.0,0.0,29228.0,712699.0,100048915.0
2009/12/24,1223.45,28.35,2.37,0.0,0.0,0.0,31707.0,658245.0,101121850.0
2009/12/23,1195.1,16.31,1.38,0.0,0.0,0.0,19659.0,450905.0,98740391.0
2009/12/22,1178.79,7.09,0.61,0.0,0.0,0.0,20487.0,385987.0,97511452.0
2009/12/21,1171.7,6.46,0.55,0.0,0.0,0.0,18077.0,417956.0,97048101.0
2009/12/18,1165.24,-3.52,-0.3,0.0,0.0,0.0,15344.0,389389.0,96675469.0
2009/12/17,1168.76,-5.88,-0.5,0.0,0.0,0.0,15586.0,403770.0,96923711.0
2009/12/16,1174.64,2.96,0.25,0.0,0.0,0.0,17147.0,453640.0,97546228.0
2009/12/15,1171.68,11.13,0.96,0.0,0.0,0.0,21743.0,643299.0,97241387.0
2009/12/14,1160.55,5.85,0.51,0.0,0.0,0.0,19542.0,438281.0,96323887.0
2009/12/11,1154.7,-7.08,-0.61,0.0,0.0,0.0,18777.0,500006.0,95810639.0
2009/12/10,1161.78,13.12,1.14,0.0,0.0,0.0,27860.0,859346.0,96307267.0
2009/12/09,1148.66,21.75,1.93,0.0,0.0,0.0,33225.0,623456.0,95396096.0
2009/12/08,1126.91,-2.82,-0.25,0.0,0.0,0.0,13188.0,326002.0,93839428.0
2009/12/07,1129.73,11.54,1.03,0.0,0.0,0.0,19093.0,525978.0,94179702.0
2009/12/04,1118.19,6.54,0.59,0.0,0.0,0.0,17752.0,437719.0,93151537.0
2009/12/03,1111.65,7.35,0.67,0.0,0.0,0.0,25546.0,449289.0,92572469.0
2009/12/02,1104.3,11.64,1.07,0.0,0.0,0.0,18068.0,516669.0,92062659.0
2009/12/01,1092.66,14.1,1.31,0.0,0.0,0.0,22466.0,512988.0,91320232.0
2009/11/30,1078.56,35.48,3.4,0.0,0.0,0.0,15275.0,492914.0,90208062.0
2009/11/27,1043.08,-49.98,-4.57,0.0,0.0,0.0,18561.0,554926.0,87601908.0
2009/11/26,1093.06,-13.19,-1.19,0.0,0.0,0.0,15550.0,587248.0,91721616.0
2009/11/25,1106.25,6.4,0.58,0.0,0.0,0.0,14537.0,279739.0,92309572.0
2009/11/24,1099.85,-0.87,-0.08,0.0,0.0,0.0,14697.0,365209.0,91662362.0
2009/11/23,1100.72,-16.15,-1.45,0.0,0.0,0.0,16419.0,384377.0,91729668.0
2009/11/20,1116.87,0.79,0.07,0.0,0.0,0.0,23944.0,378115.0,93025725.0
2009/11/19,1116.08,19.43,1.77,0.0,0.0,0.0,28555.0,502870.0,93026190.0
2009/11/18,1096.65,13.81,1.28,0.0,0.0,0.0,22585.0,860776.0,91454614.0
2009/11/17,1082.84,-22.32,-2.02,0.0,0.0,0.0,17268.0,594509.0,90207942.0
2009/11/16,1105.16,13.22,1.21,0.0,0.0,0.0,17027.0,422964.0,91831361.0
2009/11/13,1091.94,-5.25,-0.48,0.0,0.0,0.0,15311.0,418697.0,90573051.0
2009/11/12,1097.19,-27.87,-2.48,0.0,0.0,0.0,13997.0,463371.0,90989830.0
2009/11/11,1125.06,2.89,0.26,0.0,0.0,0.0,13790.0,339058.0,93148946.0
2009/11/10,1122.17,8.01,0.72,0.0,0.0,0.0,14166.0,481267.0,92931748.0
2009/11/09,1114.16,-9.38,-0.83,0.0,0.0,0.0,13583.0,369194.0,92247678.0
2009/11/06,1123.54,23.91,2.17,0.0,0.0,0.0,13499.0,435028.0,92953522.0
2009/11/05,1099.63,-28.6,-2.53,0.0,0.0,0.0,12589.0,347020.0,91161877.0
2009/11/04,1128.23,21.15,1.91,0.0,0.0,0.0,19260.0,420093.0,93438611.0
2009/11/03,1107.08,4.02,0.36,0.0,0.0,0.0,17665.0,445466.0,91866471.0
