Date,Open,High,Low,Close,Adj Close,Volume,은,10년 채권,CD91일,콜 금리,국고채 3년,회사채 3년,vkospi
2003-06-02,643.929993,649.690002,642.609985,648.710022,648.710022,515000.0,4.514,,4.3,4.0,4.13,5.24,
2003-06-03,641.73999,643.690002,633.559998,636.940002,636.940002,494600.0,4.516,,4.3,4.0,4.09,5.22,
2003-06-04,642.349976,642.789978,632.469971,640.27002,640.27002,442200.0,4.506,,4.3,4.01,4.08,5.21,
2003-06-05,647.719971,648.349976,641.580017,642.380005,642.380005,521600.0,4.506,4.44,4.3,4.02,4.07,5.2,
2003-06-06,,,,,,,4.551,,,,,,
2003-06-09,640.580017,651.159973,638.309998,650.349976,650.349976,351400.0,4.524,4.5,4.29,4.0,4.07,5.2,
2003-06-10,645.409973,652.900024,644.179993,649.75,649.75,361300.0,4.476,,4.29,4.01,4.04,5.18,
2003-06-11,651.929993,657.919983,650.27002,651.289978,651.289978,497500.0,4.506,,4.29,4.01,4.03,5.18,
2003-06-12,658.429993,661.890015,653.72998,657.950012,657.950012,612000.0,4.511,,4.27,4.0,4.06,5.21,
2003-06-13,663.099976,670.200012,655.76001,665.23999,665.23999,503100.0,4.581,4.49,4.26,4.0,4.05,5.23,
2003-06-16,661.599976,664.01001,655.859985,657.820007,657.820007,432700.0,4.618,4.34,4.26,4.0,3.95,5.19,
2003-06-17,673.76001,677.580017,670.330017,674.659973,674.659973,661600.0,4.616,4.34,4.26,4.0,3.98,5.22,
2003-06-18,673.840027,681.380005,672.52002,675.75,675.75,584100.0,4.564,4.34,4.26,4.0,3.95,5.21,
2003-06-19,681.030029,690.590027,679.059998,690.48999,690.48999,588400.0,4.576,4.4,4.26,3.99,4.0,5.26,
2003-06-20,684.039978,690.700012,683.76001,686.219971,686.219971,534500.0,4.534,4.34,4.27,3.97,4.09,5.35,
2003-06-23,685.969971,686.599976,673.330017,674.590027,674.590027,472000.0,4.564,,4.28,4.02,4.15,5.41,
2003-06-24,664.400024,665.630005,659.77002,664.01001,664.01001,451400.0,4.521,,4.28,4.01,4.09,5.37,
2003-06-25,665.97998,674.960022,665.880005,674.030029,674.030029,505200.0,4.571,4.52,4.28,4.0,4.09,5.37,
2003-06-26,668.320007,679.570007,667.719971,675.75,675.75,461900.0,4.529,4.56,4.29,4.01,4.12,5.4,
2003-06-27,682.140015,686.179993,675.47998,677.280029,677.280029,486100.0,4.514,4.63,4.29,4.01,4.16,5.45,
